svm_type c_svc
kernel_type polynomial
degree 2
gamma 0.125
coef0 0
nr_class 2
total_sv 1143
rho -1.3526312396221056
label 1 -1
nr_sv 575 568
SV
16384 1:1 2:0.027027 3:0.0420168 4:-0.831858 5:-0.63733 6:-0.699395 7:-0.735352 8:-0.704036 
16384 1:1 2:-0.0135135 3:0.0420168 4:-0.778761 5:-0.635913 6:-0.7115 7:-0.701119 8:-0.694071 
16384 1:1 2:0.0810811 3:0.0588235 4:-0.778761 5:-0.640517 6:-0.710155 7:-0.705069 8:-0.674141 
16384 1:1 2:-0.0405405 3:-0.00840336 4:-0.80531 5:-0.71383 6:-0.776059 7:-0.788018 8:-0.733931 
16384 1:-1 2:-0.0135135 3:-0.0420168 4:-0.823009 5:-0.681955 6:-0.748487 7:-0.772219 8:-0.743896 
16384 1:1 2:0.0135135 3:-0.109244 4:-0.823009 5:-0.731539 6:-0.772024 7:-0.803818 8:-0.773792 
16384 1:1 2:-0.243243 3:-0.243697 4:-0.831858 5:-0.827519 6:-0.872898 7:-0.838051 8:-0.853513 
16384 2:-0.175676 3:-0.260504 4:-0.823009 5:-0.841686 6:-0.893746 7:-0.872284 8:-0.833582 
16384 1:1 2:0.351351 3:0.243697 4:-0.752212 5:-0.389764 6:-0.472764 7:-0.403555 8:-0.604385 
6436.6912160898528 1:-1 2:0.256757 3:0.411765 4:-0.725664 5:-0.139366 6:-0.287828 7:-0.191573 8:-0.325361 
16384 1:1 2:-0.243243 3:-0.210084 4:-0.840708 5:-0.769435 6:-0.821116 7:-0.774852 8:-0.823617 
16384 1:-1 2:0.0135135 3:-0.0588235 4:-0.814159 5:-0.700372 6:-0.750504 7:-0.761685 8:-0.773792 
16384 1:1 2:0.0675676 3:0.0588235 4:-0.787611 5:-0.590933 6:-0.607263 7:-0.403555 8:-0.723966 
16384 1:1 2:0.108108 3:0.0252101 4:-0.769912 5:-0.61785 6:-0.65232 7:-0.748519 8:-0.684106 
16384 1:-1 2:0.0675676 3:0.0252101 4:-0.787611 5:-0.663184 6:-0.718225 7:-0.723502 8:-0.704036 
16384 1:1 2:0.162162 3:0.176471 4:-0.80531 5:-0.558704 6:-0.591123 7:-0.579987 8:-0.65421 
16384 1:-1 2:0.22973 3:0.193277 4:-0.769912 5:-0.508057 6:-0.595158 7:-0.491771 8:-0.604385 
16384 1:-1 2:0.0405405 3:0.00840336 4:-0.769912 5:-0.635205 6:-0.704775 7:-0.701119 8:-0.674141 
16384 1:-1 2:0.0810811 3:0.0756303 4:-0.778761 5:-0.591642 6:-0.62811 7:-0.777485 8:-0.694071 
16384 1:1 2:0.22973 3:0.210084 4:-0.752212 5:-0.488578 6:-0.583726 7:-0.560237 8:-0.59442 
523.19897908444136 1:-1 2:-0.027027 3:0.142857 4:-0.814159 5:-0.743935 6:-0.818426 7:-0.743252 8:-0.743896 
16384 1:1 2:0.135135 3:0.142857 4:-0.778761 5:-0.61785 6:-0.68191 7:-0.647136 8:-0.694071 
16384 1:1 2:0.0540541 3:0.0252101 4:-0.814159 5:-0.696122 6:-0.770007 7:-0.719552 8:-0.65421 
16384 2:-0.027027 3:-0.109244 4:-0.858407 5:-0.765893 6:-0.801614 7:-0.834101 8:-0.793722 
16384 1:-1 2:0.27027 3:0.193277 4:-0.778761 5:-0.510182 6:-0.60121 7:-0.616853 8:-0.584454 
16384 1:-1 2:0.0675676 3:0.0420168 4:-0.814159 5:-0.703559 6:-0.782112 7:-0.728769 8:-0.723966 
16384 1:-1 2:-0.0135135 3:-0.00840336 4:-0.778761 5:-0.715601 6:-0.765972 7:-0.835418 8:-0.745889 
16384 1:1 2:-0.27027 3:-0.327731 4:-0.840708 5:-0.859394 6:-0.874916 7:-0.923634 8:-0.877429 
16384 1:-1 2:-0.108108 3:-0.092437 4:-0.80531 5:-0.749602 6:-0.798252 7:-0.835418 8:-0.769806 
16384 1:1 2:-0.189189 3:-0.226891 4:-0.831858 5:-0.822206 6:-0.872226 7:-0.849901 8:-0.818635 
16384 1:1 2:0.0810811 3:0.0756303 4:-0.769912 5:-0.63485 6:-0.72226 7:-0.694536 8:-0.664175 
16384 1:-1 2:0.121622 3:0.092437 4:-0.778761 5:-0.612538 6:-0.671822 7:-0.718236 8:-0.656203 
16384 1:1 2:0.0405405 3:-0.00840336 4:-0.787611 5:-0.636621 6:-0.700067 7:-0.716919 8:-0.691081 
16384 2:-0.445946 3:-0.495798 4:-0.858407 5:-0.911457 6:-0.931406 7:-0.898618 8:-0.919283 
16384 1:1 2:0.189189 3:0.176471 4:-0.769912 5:-0.489995 6:-0.570948 7:-0.656353 8:-0.584454 
10253.178060303529 1:-1 2:0.756757 3:0.747899 4:-0.690265 5:0.503099 6:0.0275723 7:0.187623 8:0.691081 
16384 1:-1 2:0.175676 3:0.159664 4:-0.752212 5:-0.424473 6:-0.383995 7:-0.483871 8:-0.61435 
16384 1:-1 2:0.0135135 3:-0.0252101 4:-0.787611 5:-0.706393 6:-0.778749 7:-0.751152 8:-0.733931 
16384 2:-0.121622 3:-0.176471 4:-0.80531 5:-0.778289 6:-0.854741 7:-0.824885 8:-0.763827 
16384 1:-1 2:-0.0810811 3:-0.092437 4:-0.814159 5:-0.732247 6:-0.786819 7:-0.794602 8:-0.763827 
16384 1:-1 3:-0.092437 4:-0.778761 5:-0.679122 6:-0.761264 7:-0.705069 8:-0.723966 
16384 2:-0.0540541 3:0.092437 4:-0.814159 5:-0.770143 6:-0.828514 7:-0.794602 8:-0.803687 
16384 1:-1 2:0.148649 3:0.0588235 4:-0.761062 5:-0.682663 6:-0.770679 7:-0.723502 8:-0.694071 
16384 2:-0.0135135 3:-0.00840336 4:-0.761062 5:-0.693288 6:-0.757229 7:-0.782752 8:-0.753861 
